tag_id,EntryMorning,ExitMorning,EntryEvening,ExitEvening,PositionMorning,PositionEvening
2427580,1600657162581,1600658982222,1600697614434.0,1600698934258.0,Middle right,Lower left
2421861,1600657171832,1600659078478,1600697696626.0,1600699979647.0,Middle left,Middle right
2428706,1600657174203,1600659091388,1600697632716.0,1600699408271.0,Upper left,Upper right
2428292,1600657174769,1600660236625,1600697787767.0,1600700365177.0,Middle right,Middle left
2417272,1600657178644,1600664881979,1600697889683.0,1600701409310.0,Middle right,Middle left
2428788,1600657186485,1600659068411,1600697672882.0,1600700373872.0,Middle right,Upper right
2433150,1600657191963,1600659009509,1600697620189.0,1600699071961.0,Middle right,Middle right
2432652,1600657200283,1600659018642,1600697549692.0,1600700169595.0,Lower right,Lower left
2428724,1600657211992,1600658970071,1600697820104.0,1600700306234.0,Upper right,Upper right
2426393,1600657223280,1600658954075,1600697875031.0,1600700566012.0,Middle right,Upper right
2426240,1600657223385,1600660190964,1600697580902.0,1600704116898.0,Lower right,Lower left
2423372,1600657226802,1600658966451,1600697569524.0,1600699046974.0,Lower left,Middle left
2428385,1600657232117,1600662496357,1600697665055.0,1600700392398.0,Middle left,Middle right
2427725,1600657234304,1600659020889,1600697756544.0,1600700066164.0,Upper right,Middle right
2433111,1600657237278,1600662805182,1600697759058.0,1600702231413.0,Middle left,Upper right
2428091,1600657242086,1600661066914,1600697668469.0,1600703566371.0,Middle left,Middle right
2428309,1600657248737,1600659073877,1600697643828.0,1600699401732.0,Upper right,Upper left
2428865,1600657253444,1600659005692,1600698051195.0,1600701890306.0,Lower right,Upper left
2427564,1600657261789,1600660181704,1600697595559.0,1600699680143.0,Upper left,Middle right
2432660,1600657262845,1600659142134,1600697631696.0,1600699415330.0,Lower right,Lower left
2417161,1600657269884,1600660336541,1600698059999.0,1600704151437.0,Upper left,Upper left
2421815,1600657270956,1600659001486,1600697747466.0,1600700386213.0,Upper left,Lower right
2428364,1600657275405,1600660798856,1600697566202.0,1600700340256.0,Middle left,Lower left
2428072,1600657277979,1600659077958,1600697811798.0,1600699405330.0,Upper right,Upper left
2427958,1600657291630,1600659008920,1600697648298.0,1600699010224.0,Upper left,Upper left
2428278,1600657294939,1600659014883,1600697657572.0,1600699092726.0,Upper left,Upper left
2423349,1600657295479,1600664874810,1600697696531.0,1600701263494.0,Upper right,Upper left
2423352,1600657301358,1600661572595,1600697585912.0,1600699277053.0,Upper left,Middle right
2426248,1600657307827,1600660537905,1600697718296.0,1600700378760.0,Middle right,Middle left
2426271,1600657313722,1600663188339,,,Upper right,
2426245,1600657321602,1600661578820,1600697591149.0,1600701266428.0,Upper right,Middle left
2428889,1600657328079,1600660193935,1600697644516.0,1600701128436.0,Middle left,Middle right
2421834,1600657334771,1600662462760,1600697616829.0,1600699972217.0,Middle right,Middle right
2427594,1600657340112,1600659173013,1600697723519.0,1600700789799.0,Middle right,Middle right
2427555,1600657342005,1600664820258,1600697661196.0,1600704077402.0,Middle left,Middle right
2431953,1600657345756,1600659121919,1600697792030.0,1600703244372.0,Upper left,Upper left
2428732,1600657350424,1600659095245,1600697933080.0,1600703839147.0,Upper right,Upper left
2426253,1600657356462,1600660350037,1600697602910.0,1600699736577.0,Middle left,Middle left
2428503,1600657360610,1600660162202,1600697577017.0,1600698939672.0,Upper left,Middle right
2428377,1600657363304,1600659085047,1600697700921.0,1600699392125.0,Upper right,Upper right
2426250,1600657377478,1600661614022,1600697574363.0,1600701488142.0,Upper left,Middle right
2428763,1600657384308,1600660327014,1600697553288.0,1600699591612.0,Upper right,Middle right
2428692,1600657390061,1600659364648,1600697879284.0,1600702652355.0,Upper right,Upper left
2428062,1600657390524,1600661635133,1600697690784.0,1600701911406.0,Upper left,Middle right
2432656,1600657398623,1600660385375,1600697958062.0,1600701247610.0,Upper right,Middle right
2421869,1600657415710,1600661637352,1600698049150.0,1600704096631.0,Middle right,Lower right
2421874,1600657433667,1600662493994,1600697803795.0,1600702043377.0,Middle left,Upper left
2428904,1600657447477,1600660374266,1600697973040.0,1600700369692.0,Upper right,Upper left
2428891,1600657451806,1600660198114,1600697751304.0,1600700062701.0,Middle left,Lower left
2433164,1600657504504,1600660453681,1600697799181.0,1600701955143.0,Middle right,Upper right
2432144,1600657535930,1600663261756,1600697641095.0,1600699622491.0,Lower right,Middle right
2427559,1600657540460,1600661618854,1600697760381.0,1600701906376.0,Upper right,Upper right
2421788,1600657590358,1600664907427,1600697681778.0,1600702854344.0,Upper right,Middle right
2421875,1600657596871,1600663252106,1600698002477.0,1600701310263.0,Middle left,Upper right
2427540,1600657606863,1600664891715,1600697805378.0,1600702694916.0,Middle right,Upper right
2421828,1600657626555,1600664903745,1600697735719.0,1600702691429.0,Upper left,Middle right
2426267,1600657632887,1600660818952,1600697738568.0,1600701038775.0,Middle left,Upper left
2428289,1600657641042,1600662551483,1600697948018.0,1600702123229.0,Middle left,Middle left
2421797,1600657658659,1600662416793,1600697823679.0,1600701297315.0,Middle right,Middle right
2421774,1600657710701,1600663172790,1600698014554.0,1600703848837.0,Upper left,Upper left
2433128,1600657721896,1600660366868,1600697678241.0,1600700492028.0,Upper right,Middle right
2432127,1600657733578,1600663246186,1600697859446.0,1600702689455.0,Upper right,Middle right
2432013,1600657742857,1600660332725,1600697663286.0,1600702911997.0,Middle left,Middle right
2428791,1600657770670,1600660380133,1600698033675.0,1600700358794.0,Upper left,Upper right
2433142,1600657778243,1600664859383,1600697791822.0,1600703848622.0,Middle left,Upper left
2431936,1600657830149,1600662405223,1600697760594.0,1600700345095.0,Middle left,Middle left
2427595,1600657846710,1600660231212,1600697770021.0,1600700492349.0,Middle right,Middle right
2432025,1600657893488,1600662512393,1600697981892.0,1600702240509.0,Upper right,Upper right
2428744,1600657900304,1600661631488,1600697775106.0,1600702730437.0,Upper left,Middle right
2427729,1600657937009,1600663255339,1600697991922.0,1600703895970.0,Upper right,Upper left
2432033,1600657942498,1600661598703,1600697831885.0,1600701379515.0,Upper left,Upper right
2427576,1600657957290,1600663343208,1600697851319.0,1600704125803.0,Middle left,Middle right
2428893,1600657988421,1600660962902,1600698025049.0,1600702891243.0,Upper right,Upper left
2426226,1600657995097,1600660207015,1600697984586.0,1600700149289.0,Upper left,Upper right
2420330,1600657997470,1600661642820,1600697904190.0,1600701251950.0,Upper left,Middle right
2427726,1600658015455,1600662477508,1600697583936.0,1600701878596.0,Upper right,Upper right
2426209,1600658021630,1600664870620,1600697973922.0,1600703362009.0,Upper left,Upper right
2428747,1600658030598,1600660249004,1600697995382.0,1600700173979.0,Upper left,Middle left
2428879,1600658040899,1600660391179,1600697839402.0,1600703885826.0,Middle right,Upper right
2432674,1600658045605,1600664894006,1600697987943.0,1600702127226.0,Upper left,Upper right
2428880,1600658061836,1600664901361,1600697947280.0,1600704132370.0,Upper right,Upper left
2426270,1600658071557,1600663258736,1600697923166.0,1600700179181.0,Upper left,Upper right
2432129,1600658079681,1600663213235,1600698071198.0,1600702787441.0,Middle right,Middle right
2427737,1600658083442,1600664899643,1600697880505.0,1600704119245.0,Upper right,Middle left
2427849,1600658088254,1600662412246,1600697599943.0,1600699591238.0,Middle left,Upper right
2428758,1600658120613,1600663217676,1600697862371.0,1600702683987.0,Middle right,Middle right
2433148,1600658147941,1600664096499,1600697998038.0,1600703859441.0,Middle right,Middle right
2431975,1600658169085,1600661627099,,,Middle right,
2428793,1600658234746,1600664876939,1600697996371.0,1600703899885.0,Upper right,Upper right
2428742,1600658236345,1600664866756,1600697652578.0,1600699376524.0,Upper left,Middle right
2428672,1600658248911,1600664822592,1600697986484.0,1600703851458.0,Upper right,Upper left
2427443,1600658261570,1600662438149,1600697748731.0,1600701338439.0,Upper right,Middle right
2432668,1600658280931,1600664877765,1600698040855.0,1600704108540.0,Middle left,Middle left
2427590,1600658311170,1600664886799,1600698041926.0,1600702644367.0,Middle left,Middle right
2423363,1600658327995,1600664897252,1600698046219.0,1600702292678.0,Middle left,Lower left
2428782,1600658400005,1600664879344,,,Middle right,
2427703,1600658523991,1600661624870,1600697688431.0,1600700136986.0,Middle right,Upper right
2428905,1600658664342,1600664893973,1600698028215.0,1600704183735.0,Middle right,Upper right
2428080,1600658673382,1600663288837,1600697979289.0,1600701357071.0,Upper right,Upper right
2420450,1600658798943,1600663182364,1600698036184.0,1600701315640.0,Middle right,Middle right
2432680,1600658822055,1600664093517,1600698067775.0,1600703853342.0,Middle left,Upper right
2432139,1600658825564,1600664889690,1600698029416.0,1600704093871.0,Upper right,Upper right
2427567,1600658855338,1600664869049,1600698061300.0,1600704123199.0,Upper left,Middle right
2428745,1600658858831,1600664862707,1600698024121.0,1600702367545.0,Middle right,Upper right
