tag_id,EntryMorning,ExitMorning,EntryEvening,ExitEvening,PositionMorning,PositionEvening
2417195,1600576579063,1600579233000,1600617328081.0,1600619097964.0,middle_right,middle_left
2405385,1600576585707,1600578650897,1600617335348.0,1600620064659.0,upper_right,lower_left
2428711,1600576589604,1600578660315,1600617624574.0,1600620188036.0,upper_right,middle_right
2420328,1600576591197,1600579026609,1600617503865.0,1600619626780.0,upper_left,upper_left
2432118,1600576593708,1600578624076,1600617363974.0,1600620987098.0,upper_left,upper_right
2427905,1600576600861,1600579236659,1600617333834.0,1600619165825.0,middle_left,lower_left
2427608,1600576604485,1600579246871,1600617597262.0,1600619644014.0,upper_right,upper_left
2421765,1600576612788,1600583192980,1600617387558.0,1600623627837.0,middle_right,middle_right
2432089,1600576616291,1600578627261,1600617357828.0,1600619118862.0,lower_left,lower_right
2428310,1600576628722,1600579848199,1600617347559.0,1600620229353.0,lower_right,middle_left
2423335,1600576636391,1600579420875,1600617344481.0,1600620275980.0,middle_left,lower_right
2427883,1600576642179,1600579254102,1600617481207.0,1600620296010.0,middle_right,middle_left
2428323,1600576648027,1600580760299,1600617629355.0,1600621050381.0,lower_left,upper_left
2427878,1600576655338,1600578864147,1600617607739.0,1600619974866.0,middle_right,upper_left
2427465,1600576696169,1600578632504,1600617448742.0,1600620196577.0,middle_right,middle_right
2432136,1600576705565,1600580002149,1600617827294.0,1600620658253.0,lower_right,middle_left
2428898,1600576709225,1600579320434,1600617417234.0,1600620951192.0,upper_left,middle_left
2428864,1600576714689,1600580115994,1600617360078.0,1600620613429.0,middle_right,lower_right
2433123,1600576720361,1600580623748,1600617638791.0,1600619653963.0,middle_left,upper_left
2417204,1600576727228,1600579250454,1600617721339.0,1600620809364.0,middle_right,upper_right
2433119,1600576728966,1600581377572,1600617485845.0,1600620961343.0,upper_right,upper_right
2428331,1600576739810,1600581405294,1600617497936.0,1600619235774.0,upper_left,upper_right
2428386,1600576746083,1600580657354,1600617525694.0,1600620918147.0,upper_right,upper_left
2421773,1600576758254,1600579879494,1600617432569.0,1600621569932.0,middle_left,upper_right
