tag_id,EntryMorning,ExitMorning,EntryEvening,ExitEvening,PositionMorning,PositionEvening
2421765,1601010183020,1601016097884,1601049345864.0,1601056624052.0,Middle left,Middle left
2405385,1601010236826,1601013740688,1601049333991.0,1601054566604.0,Upper left,Lower right
2428894,1601010262640,1601014306943,1601050040386.0,1601055729593.0,Middle left,Middle right
2432152,1601010266778,1601014303494,1601049794635.0,1601054621435.0,Middle left,Middle right
2432089,1601010322662,1601012382588,1601049528013.0,1601051492918.0,Lower left,Upper left
2428709,1601010323939,1601012174062,1601049548158.0,1601053027342.0,Middle left,Upper left
2427905,1601010323949,1601013821812,1601049457578.0,1601052371478.0,Upper right,Lower left
2423378,1601010326791,1601013689992,1601049447118.0,1601053555916.0,Upper right,Upper left
2427608,1601010333618,1601011994218,1601049432232.0,1601052213005.0,Upper left,Middle left
2433123,1601010338519,1601013336997,1601049752567.0,1601053514819.0,Middle left,Upper left
2417195,1601010343703,1601012341612,1601049451448.0,1601052828306.0,Lower left,Middle left
2428323,1601010343828,1601012312040,1601049556615.0,1601053537073.0,Middle left,Upper left
2420328,1601010353244,1601012219104,1601049349022.0,1601052184828.0,Upper left,Upper left
2433107,1601010353460,1601016039329,1601049648559.0,1601056546907.0,Upper left,Upper left
2432048,1601010354517,1601012503642,1601049739453.0,1601053659721.0,Upper right,Upper left
2427445,1601010355187,1601012189144,1601049517545.0,1601053542608.0,Middle right,Middle left
2427878,1601010358862,1601011979098,1601049482920.0,1601052273369.0,Upper right,Upper left
2432118,1601010361895,1601012055743,1601049459537.0,1601052879737.0,Middle right,Middle left
2428711,1601010363720,1601012401909,1601049498752.0,1601052842845.0,Upper right,Upper left
2428386,1601010363761,1601012001517,1601049482691.0,1601052252178.0,Middle right,Middle left
2428739,1601010370273,1601013698991,1601049585452.0,1601052411392.0,Middle right,Upper left
2428796,1601010378685,1601012001778,1601049464839.0,1601051468888.0,Upper right,Upper right
2417171,1601010382406,1601013743141,1601049414608.0,1601051517913.0,Upper right,Middle right
2427599,1601010386089,1601014376690,1601050011867.0,1601056601523.0,Upper right,Upper left
2428291,1601010394119,1601016015867,1601049981650.0,1601055096250.0,Middle left,Middle right
2432061,1601010403230,1601016391553,1601049800955.0,1601053577975.0,Upper left,Upper right
2433119,1601010407620,1601013694337,1601049532511.0,1601053219878.0,Upper right,Upper right
2428864,1601010420679,1601013197530,1601049326098.0,1601053410442.0,Middle right,Middle left
2428867,1601010421813,1601012112996,1601049425061.0,1601051486996.0,Upper left,Middle left
2427616,1601010423549,1601014325553,1601049563918.0,1601056607146.0,Upper left,Middle left
2428348,1601010427888,1601014290593,1601049919420.0,1601056576845.0,Middle left,Middle right
2428931,1601010430949,1601013785901,1601049729230.0,1601055042430.0,Upper right,Upper left
2426290,1601010435733,1601015295053,1601049574036.0,1601055208529.0,Middle left,Upper left
2428746,1601010446733,1601013263621,1601050046802.0,1601056536661.0,Upper right,Middle left
2431954,1601010456761,1601013761994,1601049932788.0,1601055063346.0,Upper left,Upper right
2423393,1601010464384,1601013493703,1601049765250.0,1601056584037.0,Middle left,Upper left
2428310,1601010473360,1601013740946,1601049462022.0,1601053174410.0,Upper right,Middle right
2432023,1601010474610,1601012484838,1601049560079.0,1601051586097.0,Upper right,Middle right
2417175,1601010477240,1601012005408,1601049637462.0,1601052306306.0,Upper right,Middle left
2428776,1601010483466,1601015060308,1601049809451.0,1601056706004.0,Middle right,Middle right
2427447,1601010486043,1601015301495,1601049806011.0,1601055046066.0,Upper right,Upper right
2423344,1601010504259,1601015332116,1601049491048.0,1601052203915.0,Middle left,Middle left
2427465,1601010513815,1601013388482,1601049775284.0,1601053558200.0,Middle left,Middle left
2428125,1601010519991,1601014311731,1601049576585.0,1601055090623.0,Upper right,Upper right
2428714,1601010524160,1601012977754,1601049966356.0,1601055941435.0,Middle right,Upper right
2428898,1601010530974,1601015004584,1601049928022.0,1601056541880.0,Upper left,Upper right
2427458,1601010534924,1601013776956,1601049602578.0,1601052928531.0,Middle right,Middle left
2427728,1601010554992,1601015024287,1601049933209.0,1601055040048.0,Upper right,Upper right
2427614,1601010559932,1601015308727,1601049824746.0,1601056617467.0,Upper right,Upper right
2428179,1601010565491,1601012511884,1601050024705.0,1601053548267.0,Upper right,Upper right
2426262,1601010581573,1601015013385,1601049845266.0,1601056609445.0,Middle right,Upper right
2421792,1601010585420,1601013457641,1601049923560.0,1601054246927.0,Upper left,Upper left
2428315,1601010587151,1601014927749,1601049820927.0,1601055286499.0,Middle left,Middle left
2428902,1601010595379,1601014272187,1601049999061.0,1601056617547.0,Lower left,Middle right
2427562,1601010614487,1601015319791,1601050029150.0,1601055061603.0,Upper right,Middle right
2423364,1601010620525,1601016082433,1601049768879.0,1601053891312.0,Upper right,Upper left
2428068,1601010637609,1601016050044,1601049744810.0,1601056533801.0,Middle right,Upper right
2432119,1601010639318,1601016082127,1601049457474.0,1601056597037.0,Upper right,Middle left
2428734,1601010645725,1601016396037,1601049956713.0,1601055040464.0,Upper right,Middle left
2421773,1601010646012,1601013823090,1601049382018.0,1601054541345.0,Upper left,Middle left
2423375,1601010659827,1601014174215,1601050035600.0,1601054646557.0,Middle right,Middle right
2428390,1601010659994,1601016374861,1601049722747.0,1601056558790.0,Middle left,Upper left
2428877,1601010670824,1601014341229,1601049888512.0,1601055040869.0,Middle right,Upper right
2428773,1601010687673,1601014296242,1601049898957.0,1601054571010.0,Upper right,Middle left
2433132,1601010700616,1601013724728,1601049633330.0,1601055037705.0,Upper right,Middle right
2428056,1601010701076,1601015094309,1601050004194.0,1601056531640.0,Middle right,Upper left
