tag_id,EntryMorning,ExitMorning,EntryEvening,ExitEvening,PositionMorning,PositionEvening
2423352,1600914744992,1600917629839,1600956554399,1600958205125,Middle right,Lower left
2433150,1600914761576,1600917481112,1600956565749,1600958058332,Middle right,Lower left
2428364,1600914785566,1600919090769,1600956587966,1600958298487,Middle left,Middle left
2427958,1600914791924,1600917602000,1600956633524,1600958229435,Upper left,Upper right
2428742,1600914793550,1600923362306,1600957078671,1600961293322,Lower left,Middle left
2428309,1600914796277,1600918155053,1600956713060,1600958756385,Upper right,Upper right
2426253,1600914799058,1600917643832,1600956595332,1600960347847,Middle right,Middle right
2428278,1600914803417,1600917606211,1600956638404,1600958152590,Upper left,Upper right
2427564,1600914806610,1600921173458,1600956815732,1600959891706,Middle right,Upper right
2428889,1600914814173,1600920527063,1600956671383,1600959684397,Middle right,Upper right
2432660,1600914819045,1600919925881,1600956639306,1600960375185,Lower left,Middle left
2428788,1600914826102,1600918162601,1600956605625,1600959690287,Middle left,Middle right
2428706,1600914834331,1600919911091,1600956737522,1600961995646,Upper left,Upper left
2426240,1600914840117,1600917617514,1600956574559,1600959305183,Middle right,Lower right
2433164,1600914844612,1600919906309,1600956804561,1600958767799,Middle right,Upper right
2428724,1600914848940,1600918144377,1600956792442,1600959695644,Upper left,Upper right
2427725,1600914850774,1600917648500,1600956584705,1600958640494,Upper left,Upper left
2421815,1600914854645,1600917611881,1600956649858,1600958171821,Upper right,Upper right
2428062,1600914856232,1600919928507,1600956713728,1600959312654,Middle left,Middle right
2426227,1600914859559,1600923350681,1600956829279,1600959128619,Lower left,Upper left
2427580,1600914863601,1600917493632,1600956550174,1600958055672,Middle right,Upper right
2421861,1600914866951,1600918206977,1600956552707,1600959045880,Middle left,Middle right
2426393,1600914874262,1600920550089,1600956572098,1600958209406,Upper right,Middle right
2432144,1600914876702,1600919913223,1600956744879,1600960054392,Middle right,Middle right
2428292,1600914884308,1600919876793,1600956895918,1600959938879,Middle right,Middle left
2428891,1600914884510,1600917477332,1600956581426,1600958062619,Middle left,Middle left
2428904,1600914889933,1600919920508,1600956719033,1600959813229,Upper left,Upper right
2428072,1600914892900,1600918167386,1600956630194,1600958714553,Upper right,Upper right
2427594,1600914899445,1600918239978,1600956729467,1600959908746,Middle right,Upper right
2420476,1600914900964,1600923373865,1600956597803,1600962900888,Upper right,Upper left
2432013,1600914902560,1600918305815,1600956743737,1600959831734,Upper right,Middle right
