tag_id,EntryMorning,ExitMorning,EntryEvening,ExitEvening,PositionMorning,PositionEvening
2427905,1600664244719,1600665768547,,,Upper left,Lower left
2423335,1600664273538,1600666443413,1600704353532.0,1600706736933.0,Lower left,Lower left
2432089,1600664277140,1600666304173,1600704346039.0,1600706354053.0,Lower left,Middle left
2427562,1600664286868,1600669757438,1600704900673.0,1600710531319.0,Middle right,Upper right
2405385,1600664296965,1600665803582,1600704456364.0,1600707079367.0,Middle right,Middle right
2417195,1600664299041,1600666217416,1600704318606.0,1600706121375.0,Middle left,Lower left
2428739,1600664354043,1600665791345,1600704413854.0,1600706761553.0,Middle left,Upper left
2417214,1600664355774,1600667342536,1600704589617.0,1600708340999.0,Lower left,Lower left
2432023,1600664367409,1600666165957,1600704693084.0,1600706781073.0,Middle left,Middle left
2427465,1600664375954,1600665841414,1600704432850.0,1600706787526.0,Middle left,Middle left
2428125,1600664384436,1600669344253,1600704534220.0,1600708347076.0,Middle right,Middle right
2428789,1600664391780,1600669806238,1600704737790.0,1600708314822.0,Middle right,Upper left
2432048,1600664396125,1600668761109,1600704556373.0,1600709346096.0,Lower right,Upper right
2428390,1600664416024,1600668278689,1600704508862.0,1600708223303.0,Middle right,Middle right
2432098,1600664424964,1600666290168,1600704353028.0,1600706367932.0,Middle right,Middle left
2420328,1600664428632,1600666147068,1600704356514.0,1600706707288.0,Upper left,Middle left
2427445,1600664433885,1600668614170,1600704669261.0,1600709185723.0,Middle left,Middle right
2426247,1600664436697,1600666811632,1600704653083.0,1600707523032.0,Middle left,Upper left
2433123,1600664438555,1600667166353,1600704375362.0,1600706731180.0,Middle left,Upper right
2428890,1600664442599,1600667661455,1600704424796.0,1600707364515.0,Middle left,Middle left
2433119,1600664445691,1600666300616,1600704488081.0,1600706389521.0,Upper right,Upper right
2423378,1600664450060,1600667427718,1600704351066.0,1600708092248.0,Upper right,Upper left
2428902,1600664456082,1600667686641,1600705027047.0,1600710619766.0,Middle right,Lower left
2423393,1600664456720,1600668586478,1600704607789.0,1600708118496.0,Middle right,Upper right
2427608,1600664460447,1600668066186,1600704484220.0,1600706745643.0,Upper right,Upper left
2428796,1600664464509,1600665789488,1600704576406.0,1600706793986.0,Middle left,Upper left
2428898,1600664465632,1600669746856,1600704518091.0,1600708599065.0,Upper left,Upper left
2433107,1600664466871,1600671228623,1600704546915.0,1600710476206.0,Middle right,Middle left
2423344,1600664467143,1600665785691,1600704547451.0,1600709188537.0,Upper right,Middle right
2428712,1600664470364,1600665905237,1600704968814.0,1600708177484.0,Middle right,Middle left
2428386,1600664475033,1600667204198,1600704566266.0,1600708084879.0,Upper left,Upper left
2432118,1600664477785,1600667465544,1600704478066.0,1600706761952.0,Upper left,Upper right
2426290,1600664482440,1600669372065,1600704633986.0,1600709257646.0,Upper left,Upper left
2432136,1600664488040,1600666440585,1600704541770.0,1600708474035.0,Middle right,Middle left
2428315,1600664490338,1600668875899,1600704476638.0,1600706750725.0,Middle right,Middle left
2428291,1600664495684,1600668091152,1600704470973.0,1600708338172.0,Upper right,Middle left
2427447,1600664496899,1600671025233,1600704360616.0,1600709418331.0,Upper left,Upper left
2428179,1600664501073,1600671202666,1600704674772.0,1600710340596.0,Upper right,Upper right
2417204,1600664506113,1600667369973,1600704495985.0,1600706843277.0,Upper right,Upper right
2421773,1600664508055,1600666500304,1600704648694.0,1600708483135.0,Upper right,Middle left
2433132,1600664508794,1600668621457,1600704523326.0,1600707778360.0,Upper left,Middle left
2427614,1600664510888,1600668595804,1600704809563.0,1600710501092.0,Upper right,Upper right
2428776,1600664512642,1600671197506,1600704481739.0,1600708017582.0,Upper right,Middle left
2427728,1600664514324,1600669803612,1600704877158.0,1600709253317.0,Upper right,Upper right
2428754,1600664517331,1600671232348,1600704343018.0,1600710508757.0,Upper left,Middle left
2428714,1600664529473,1600668602987,1600704971640.0,1600709908241.0,Middle right,Upper left
2428931,1600664534720,1600668630521,1600704505359.0,1600709388175.0,Upper right,Upper right
2428044,1600664536860,1600668626441,1600704782217.0,1600710334469.0,Upper right,Upper left
