tag_id,EntryMorning,EntryOrderMorning,ExitMorning,ExitOrderMorning,EntryEvening,EntryOrderEvening,ExitEvening,ExitOrderEvening,PositionMorning,PositionEvening
2432023,1600490616856,1,1600492635387,5,1600531177637.0,22.0,1600532861354.0,4.0,middle_left,lower_left
2423335,1600490620159,2,1600493150181,17,1600531038164.0,4.0,1600533245681.0,11.0,lower_left,lower_left
2428864,1600490625579,3,1600494213126,36,1600531031379.0,2.0,1600534164517.0,29.0,middle_left,middle_right
2405385,1600490634713,4,1600493051314,9,1600531185127.0,24.0,1600533498114.0,18.0,middle_right,middle_right
2420328,1600490638455,5,1600493065366,11,1600531137906.0,16.0,1600533254077.0,13.0,middle_right,middle_right
2428709,1600490649880,6,1600493672731,28,1600531338183.0,44.0,1600534200575.0,30.0,middle_left,upper_right
2428931,1600490650215,7,1600493003871,7,1600531505552.0,64.0,1600535735727.0,59.0,upper_left,upper_right
2426247,1600490653718,8,1600493104393,13,1600531301835.0,39.0,1600535132996.0,46.0,upper_left,upper_left
2417214,1600490657241,9,1600494390078,45,1600531395595.0,53.0,1600534883656.0,44.0,lower_left,middle_left
2427447,1600490659173,10,1600494282148,43,1600531376007.0,50.0,1600536671440.0,70.0,upper_left,middle_left
2428739,1600490665711,11,1600492588808,3,1600531219431.0,31.0,1600532797788.0,2.0,lower_left,middle_left
2423378,1600490672874,12,1600494550597,48,1600531102764.0,11.0,1600535766158.0,60.0,middle_left,middle_left
2423344,1600490678627,13,1600493056225,10,1600531214887.0,30.0,1600533312086.0,15.0,middle_left,upper_left
2428386,1600490686139,14,1600493085973,12,1600531042460.0,6.0,1600534496945.0,39.0,upper_left,lower_left
2428310,1600490687035,15,1600493757848,29,1600531052175.0,8.0,1600533752091.0,21.0,middle_right,lower_right
2428890,1600490689914,16,1600494910565,49,1600531180824.0,23.0,1600534449655.0,35.0,upper_left,middle_left
2421765,1600490692511,17,1600497396670,81,1600531108619.0,12.0,1600536908394.0,79.0,middle_left,lower_right
2432098,1600490697410,18,1600492579788,2,1600531315873.0,40.0,1600533220733.0,9.0,middle_left,upper_right
2427883,1600490704290,19,1600493250452,19,1600531391185.0,52.0,1600533344316.0,17.0,middle_right,middle_left
2427614,1600490706991,20,1600495018939,52,1600531358368.0,48.0,1600536754837.0,74.0,upper_left,upper_right
2427445,1600490717446,21,1600495899347,63,1600531167234.0,20.0,1600535699109.0,57.0,middle_left,middle_left
2433119,1600490722586,22,1600493664886,27,1600531161242.0,19.0,1600533975501.0,27.0,upper_right,upper_left
2428746,1600490725754,23,1600497669820,83,1600531421039.0,58.0,1600535853471.0,63.0,middle_right,upper_right
2427465,1600490731595,24,1600492960574,6,1600531122734.0,14.0,1600533339151.0,16.0,middle_right,middle_left
2428796,1600490741537,25,1600493045344,8,1600531118058.0,13.0,1600533242742.0,10.0,middle_left,middle_right
2428179,1600490750033,26,1600497699500,90,1600531712800.0,87.0,1600536681055.0,71.0,middle_right,upper_left
2420163,1600490767671,27,1600493154691,18,1600531429727.0,60.0,1600535170554.0,51.0,upper_left,upper_right
2428712,1600490791088,28,1600492509944,1,1600531241352.0,32.0,1600533838070.0,22.0,middle_right,middle_right
2428902,1600490797339,29,1600494022913,34,1600531095348.0,10.0,1600537852504.0,85.0,middle_right,middle_left
2428315,1600490802716,30,1600493954052,32,1600531210371.0,29.0,1600534451101.0,36.0,middle_right,lower_left
2432136,1600490808818,31,1600493973403,33,1600531294563.0,38.0,1600534535469.0,41.0,middle_left,middle_right
2428734,1600490820286,32,1600493920911,31,1600531608738.0,70.0,1600535667304.0,55.0,middle_right,upper_left
2428776,1600490843057,33,1600497801531,92,1600531199185.0,27.0,1600538063272.0,93.0,upper_right,upper_left
2428754,1600490847634,34,1600495046769,56,1600531270257.0,34.0,1600537841742.0,83.0,upper_right,middle_left
2427905,1600490851609,35,1600493109051,14,1600531034902.0,3.0,1600533011153.0,6.0,upper_left,middle_left
2427608,1600490851614,36,1600493646206,24,1600531203672.0,28.0,1600533252519.0,12.0,upper_left,upper_right
2433123,1600490855550,37,1600494246099,39,1600531333456.0,42.0,1600533534470.0,19.0,upper_left,upper_left
2432061,1600490856126,38,1600497688985,86,1600531594580.0,68.0,1600536285822.0,66.0,upper_right,upper_left
2428711,1600490867496,39,1600492599903,4,1600531385632.0,51.0,1600533843668.0,23.0,upper_right,upper_right
2423393,1600490872543,40,1600494265544,41,1600531172230.0,21.0,1600536537999.0,68.0,upper_right,upper_left
2428323,1600490873970,41,1600494230327,37,1600531572559.0,66.0,1600536335417.0,67.0,upper_left,upper_left
2428044,1600490879447,42,1600497297963,77,1600531719300.0,90.0,1600534850510.0,43.0,upper_right,upper_right
2417171,1600490880679,43,1600497694309,89,1600531453251.0,61.0,1600534250677.0,31.0,upper_right,middle_left
2432118,1600490882750,44,1600494241759,38,1600531280559.0,36.0,1600533623762.0,20.0,upper_left,upper_right
2426290,1600490887202,45,1600495920058,66,1600531143971.0,17.0,1600535773054.0,61.0,middle_left,middle_left
2428721,1600490897269,46,1600495911613,64,,,,,middle_right,
2423375,1600490899930,47,1600493338952,20,1600531197717.0,26.0,1600532829034.0,3.0,upper_left,middle_left
2432048,1600490905174,48,1600495969142,69,1600531053070.0,9.0,1600533285399.0,14.0,upper_left,middle_right
2428068,1600490912617,49,1600495936582,68,1600531514421.0,65.0,1600537880996.0,89.0,upper_left,middle_right
2428789,1600490918556,50,1600496085012,70,1600531635145.0,73.0,1600536898571.0,78.0,middle_right,upper_right
2417175,1600490926784,51,1600493616481,23,1600531190169.0,25.0,1600533092230.0,8.0,upper_right,middle_right
2421792,1600490931718,52,1600493369499,22,1600531250024.0,33.0,1600534785686.0,42.0,middle_left,upper_left
2427599,1600490938812,53,1600497310554,78,1600531615767.0,71.0,1600534297270.0,32.0,upper_left,upper_left
2417204,1600490954611,54,1600493139370,16,1600531399281.0,54.0,1600534346731.0,34.0,middle_left,upper_right
2427616,1600490966293,55,1600497256825,73,1600531404817.0,55.0,1600536689209.0,72.0,upper_right,upper_right
2428867,1600490970144,56,1600493123882,15,1600531350085.0,46.0,1600532792294.0,1.0,upper_left,
2428714,1600490997207,57,1600494541141,47,1600531480592.0,62.0,1600534316354.0,33.0,middle_left,upper_left
2433107,1600490997232,58,1600497693547,88,1600531589240.0,67.0,1600537861611.0,87.0,middle_left,upper_left
2427898,1600491004141,59,1600493660731,26,1600531428862.0,59.0,1600533863463.0,24.0,upper_left,middle_right
2428390,1600491009740,60,1600497360044,79,1600531366797.0,49.0,1600536840034.0,76.0,upper_right,middle_right
2428778,1600491018928,61,1600495891191,62,1600531408807.0,56.0,1600535678610.0,56.0,upper_right,middle_right
2427458,1600491032864,62,1600493651500,25,1600531352945.0,47.0,1600533878198.0,26.0,middle_left,middle_right
2427728,1600491050244,63,1600497287980,76,1600531292283.0,37.0,1600534470825.0,37.0,middle_left,middle_right
2427565,1600491069963,64,1600494272462,42,1600531335799.0,43.0,1600536776929.0,75.0,upper_left,middle_left
2428291,1600491080940,65,1600493361012,21,1600531680011.0,78.0,1600535160546.0,50.0,upper_left,upper_right
2423356,1600491098690,66,1600497682351,85,1600531687631.0,81.0,1600536646491.0,69.0,upper_left,upper_left
2426262,1600491105399,67,1600496493797,71,1600531326257.0,41.0,1600533868006.0,25.0,upper_right,middle_right
2432119,1600491110788,68,1600497679168,84,1600531714247.0,89.0,1600536689978.0,73.0,middle_left,lower_left
2421773,1600491111424,69,1600495053499,57,1600531737877.0,92.0,1600535145210.0,47.0,upper_right,upper_right
2428331,1600491119706,70,1600495032084,53,1600531708945.0,86.0,1600537860863.0,86.0,upper_left,upper_left
2428773,1600491122504,71,1600494289755,44,1600531655425.0,76.0,1600535880951.0,64.0,upper_left,middle_left
2431954,1600491130034,72,1600494453214,46,1600531415936.0,57.0,1600535726966.0,58.0,upper_right,middle_right
2417169,1600491131195,73,1600494999813,50,1600531643479.0,75.0,1600534155899.0,28.0,upper_left,upper_left
