tag_id,EntryMorning,ExitMorning,EntryEvening,ExitEvening,PositionMorning,PositionEvening
2421765,1600922689415,1600927148620,1600963103772.0,1600968648114.0,Lower right,Middle left
2432089,1600922723126,1600924226893,1600963074207.0,1600965010834.0,Lower left,Lower left
2432048,1600922727413,1600927996729,1600963140346.0,1600965493888.0,Lower right,Lower left
2405385,1600922732944,1600925633049,1600963060575.0,1600965210572.0,Middle left,Middle left
2428310,1600922742870,1600924258442,1600963158671.0,1600966191446.0,Middle right,Middle left
2420328,1600922750191,1600924983565,1600963078149.0,1600965220203.0,Upper left,Middle left
2427608,1600922754397,1600925000729,1600963281554.0,1600965533121.0,Upper right,Upper right
2428739,1600922757702,1600924397797,1600963152177.0,1600965198364.0,Middle left,Upper right
2427905,1600922764461,1600924259734,1600963062402.0,1600965281324.0,Upper right,Lower left
2427878,1600922769863,1600925007515,1600963120228.0,1600964902809.0,Upper right,Upper right
2423393,1600922775945,1600925639311,1600963589275.0,1600967755551.0,Middle right,Upper left
2417214,1600922780400,1600926647129,1600963209905.0,1600967675480.0,Lower left,Lower left
2428931,1600922784411,1600925035434,1600963315646.0,1600966856678.0,Upper left,Upper right
2428386,1600922792602,1600925096966,1600963174224.0,1600966460643.0,Upper right,Middle right
2417175,1600922796249,1600924197067,1600963166052.0,1600964900550.0,Middle left,Middle left
2428778,1600922801084,1600926562583,1600963112731.0,1600965398459.0,Middle left,Middle left
2417171,1600922803918,1600925645899,1600963120979.0,1600966909682.0,Upper right,Middle left
2428390,1600922812922,1600928785347,1600963333698.0,1600966082698.0,Upper left,Upper right
2417195,1600922821007,1600924360705,1600963275690.0,1600965856206.0,Middle left,Middle right
2433123,1600922827900,1600926541433,1600963425743.0,1600966502234.0,Middle left,Upper left
2423378,1600922864059,1600926672536,1600963298387.0,1600966851628.0,Upper right,Middle right
2427465,1600922865550,1600924309310,1600963216483.0,1600965501573.0,Middle right,Middle left
2423344,1600922874880,1600925013565,1600963256258.0,1600967436735.0,Middle left,Upper left
2428796,1600922875175,1600924992451,1600963413743.0,1600966889553.0,Upper left,Middle left
2428746,1600922883685,1600926580176,1600963624690.0,1600968595082.0,Middle right,Upper left
2426290,1600922883994,1600925710789,1600963136500.0,1600966882565.0,Middle left,Middle left
2428898,1600922887837,1600927970428,1600963585818.0,1600967853614.0,Upper left,Middle right
2428711,1600922891599,1600924265494,1600963354093.0,1600966474097.0,Upper left,Upper right
2421773,1600922893138,1600925683526,1600963479873.0,1600967042226.0,Upper right,Upper left
2427447,1600922894467,1600928862063,1600963202467.0,1600965677009.0,Upper left,Middle left
2432023,1600922894882,1600924324289,1600963158699.0,1600964953179.0,Upper right,Middle left
