tag_id,EntryMorning,EntryOrderMorning,ExitMorning,ExitOrderMorning,EntryEvening,EntryOrderEvening,ExitEvening,ExitOrderEvening,PositionMorning,PositionEvening
2426270,1600829287371,69,1600836434952,75,1600870749740,41,1600873134578,28,upper_left,middle_right
2428672,1600829304557,70,1600838195569,99,1600871405408,86,1600876686754,88,upper_right,upper_left
2432129,1600829313498,71,1600836490458,84,1600871711457,98,1600875849362,80,middle_left,middle_left
2433148,1600829318718,72,1600838268071,107,1600871522031,90,1600876782536,104,upper_right,middle_left
2426226,1600829323834,73,1600833271630,32,1600871113202,72,1600874738733,54,upper_left,upper_right
2420330,1600829338477,74,1600834625226,50,1600870924669,55,1600873156316,32,upper_left,upper_left
2427595,1600829351460,75,1600833906587,41,1600870830113,48,1600873839120,36,upper_right,middle_right
2427849,1600829385464,76,1600835517400,60,1600870604976,13,1600872501746,14,upper_left,middle_right
2433128,1600829412430,77,1600833835622,36,1600870884044,52,1600873891153,41,upper_left,upper_left
2433111,1600829465730,78,1600835613869,64,1600870984435,58,1600876007897,84,upper_left,upper_left
2428904,1600829484374,79,1600835615248,65,1600871012948,65,1600876755375,101,upper_right,upper_right
2432025,1600829516306,80,1600834001809,47,1600871361584,85,1600876840739,107,upper_right,upper_right
2432674,1600829524394,81,1600838208384,101,1600871442122,88,1600876761837,102,upper_left,upper_right
2431936,1600829675881,82,1600835549837,61,1600871257604,79,1600875360214,70,upper_right,upper_left
2421874,1600829715306,83,1600836474617,81,1600871268822,80,1600874737340,53,upper_left,upper_left
2428880,1600829755060,84,1600838185118,97,1600871539710,91,1600876693451,89,upper_left,upper_left
2427567,1600830001027,85,1600838149522,86,1600871136064,74,1600876772598,103,upper_right,middle_left
2428758,1600830023535,86,1600836481096,82,1600871294274,81,1600875315960,67,middle_left,middle_right
2428745,1600830043189,87,1600835660480,68,1600871800513,108,1600875375979,71,upper_right,upper_left
2428889,1600830047495,88,1600833268512,31,1600870717908,34,1600874716486,49,upper_left,middle_left
2433142,1600830049398,89,1600838201289,100,1600871593466,93,1600876822338,105,middle_right,upper_right
2428080,1600830053690,90,1600834699364,57,1600871571756,92,1600875995689,82,upper_left,upper_right
2423363,1600830056753,91,1600838252877,104,1600871749946,105,1600875964472,81,middle_right,middle_left
2427443,1600830057342,92,1600836459030,79,1600871732255,100,1600874781139,58,middle_right,upper_right
2427703,1600830061741,93,1600834659684,54,1600870697436,30,1600873155726,31,middle_right,middle_right
2420450,1600830064149,94,1600834632452,51,1600871734382,101,1600874759828,56,upper_left,middle_right
2421788,1600830066238,95,1600838290422,109,1600871153900,75,1600874732199,51,middle_right,upper_right
2428503,1600830069160,96,1600833275809,33,1600870904350,53,1600873114386,26,upper_right,upper_left
2428747,1600830074712,97,1600833917737,42,1600871745517,104,1600874766073,57,upper_right,middle_left
2428764,1600830077375,98,1600834623137,49,1600871709021,97,1600875245596,62,middle_right,upper_right
2432668,1600830081464,99,1600838175793,95,1600871738869,102,1600876682458,87,middle_right,upper_left
2427590,1600830083783,100,1600838158229,90,1600871610674,94,1600875256033,64,middle_right,middle_right
2428793,1600830100535,101,1600838257580,106,1600871212221,76,1600876701794,90,upper_right,middle_right
2432680,1600830114257,102,1600835598361,63,1600871827364,109,1600876325084,85,middle_right,middle_right
2432139,1600830129041,103,1600835790392,73,1600871657676,96,1600874487573,45,middle_left,upper_left
2423352,1600830130840,104,1600834638598,52,1600870579606,4,1600871959179,6,upper_right,middle_right
2417272,1600830131364,105,1600836466855,80,1600871759291,106,1600875815086,76,middle_right,upper_right
2426227,1600830133733,106,1600835703410,70,1600870874024,51,1600875695973,72,lower_right,upper_right
2428791,1600830133871,107,1600836496176,85,1600871007662,64,1600875240737,61,upper_right,upper_right
2428905,1600830134563,108,1600838275485,108,1600871763657,107,1600876843497,108,middle_right,
2432057,1600831309522,109,1600833259995,29,1600870822704,47,1600873191483,33,upper_right,middle_left
